Date,Open,High,Low,Close,Volume
8/12/2010,35.241428,36.157143,35.16,35.970001,133730100
8/13/2010,35.950001,35.982857,35.584286,35.585712,88717300
8/16/2010,35.368572,35.715714,35.23143,35.377144,79607500
8/17/2010,35.725716,36.375713,35.599998,35.995716,105660100
8/18/2010,36.05143,36.381428,35.939999,36.152859,84924000
8/19/2010,36.119999,36.21143,35.525715,35.697144,106676500
8/20/2010,35.627144,36.274284,35.57143,35.662857,96057500
8/23/2010,35.970001,36,35.035713,35.114285,103510400
8/24/2010,34.667141,34.714287,34.092857,34.275715,150641400
8/25/2010,34.005714,34.855713,33.885715,34.69857,149216900
8/26/2010,35.064285,35.107143,34.325714,34.325714,116626300
8/27/2010,34.535713,34.658573,33.651428,34.517143,137097800
8/30/2010,34.394287,35.107143,34.382858,34.642857,95822300
8/31/2010,34.549999,34.937141,34.335712,34.728573,105196700
9/1/2010,35.352856,35.922855,35.182858,35.761429,174259400
9/2/2010,35.894287,36.024284,35.509998,36.024284,103856900
9/3/2010,36.441429,36.968571,36.357143,36.967144,130197200
9/7/2010,36.662857,37.075714,36.607143,36.830002,85639400
9/8/2010,37.111427,37.77,37.014286,37.560001,131637800
9/9/2010,37.862858,38.074287,37.560001,37.581429,109643800
9/10/2010,37.598572,37.785713,37.342857,37.630001,96885600
9/13/2010,37.974285,38.325714,37.965714,38.148571,97195000
9/14/2010,38.029999,38.452858,37.931427,38.294285,102037600
9/15/2010,38.310001,38.625713,38.262856,38.602856,107342200
9/16/2010,38.605713,39.524284,38.5,39.509998,163025800
9/17/2010,39.669998,39.708572,39.097141,39.33857,158619300
9/20/2010,39.439999,40.540001,39.407143,40.46143,164669400
9/21/2010,40.55143,41.049999,40.398571,40.53857,167018600
9/22/2010,40.387142,41.139999,40.344284,41.107143,146322400
9/23/2010,40.904285,41.822857,40.857143,41.274284,196529200
9/24/2010,41.728573,41.932858,41.507141,41.759998,162372000
9/27/2010,41.997143,42.104286,41.572857,41.594284,120708700
9/28/2010,41.681427,41.681427,39.285713,40.98,258760600
9/29/2010,41.032856,41.401428,40.857143,41.052856,117411000
9/30/2010,41.285713,41.42857,40.17857,40.535713,168347900
10/1/2010,40.878571,40.939999,40.192856,40.360001,112035700
10/4/2010,40.228573,40.414288,39.681427,39.805714,108825500
10/5/2010,40.285713,41.349998,40.259998,41.277142,125491800
10/6/2010,41.369999,41.712856,40.751427,41.312859,167717200
10/7/2010,41.477142,41.497143,40.987144,41.317142,102099900
10/8/2010,41.672855,42.07143,41.42857,42.009998,164600800
10/11/2010,42.105713,42.462856,42.085712,42.194286,106938300
10/12/2010,42.201427,42.785713,41.784286,42.648571,139636000
10/13/2010,42.885715,43.137142,42.828571,42.877144,157523100
10/14/2010,43.098572,43.209999,42.914288,43.187141,108824100
10/15/2010,43.919998,45,43.558571,44.962856,230548500
10/18/2010,45.495716,45.57143,44.898571,45.42857,273252700
10/19/2010,43.342857,44.824287,42.860001,44.212856,308196000
10/20/2010,44.142857,44.892857,43.83857,44.361427,180406100
10/21/2010,44.622856,44.962856,43.828571,44.217144,137865000
10/22/2010,44.152859,44.291428,43.757141,43.924286,93194500
10/25/2010,44.155716,44.514286,44.062859,44.119999,98115500
10/26/2010,43.83857,44.248573,43.664288,44.007141,98232400
10/27/2010,43.950001,44.271427,43.657143,43.975716,99750700
10/28/2010,43.992859,44,42.985714,43.605713,137762800
10/29/2010,43.46143,43.697144,42.98143,42.997143,107627800
